commodity;categoria;categoria_planning;categoria_gpc;product_group;marca_gpc;cod_produto;produto;peso_liquido_caixa;unidades_caixa;peso_liquido_unitario
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;VASENOL;61L;LOCAO VASENOL CLINICAL;1,248;6;0,20800
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCAO FACIAL;SIMPLE;6WA;AGUA MICELAR SIMPLE;2,400;12;0,20000
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCAO FACIAL;DOVE;8B1;SAB LIQ FACIAL DOVE 50ML;0,600;12;0,05000
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCAO FACIAL;DOVE;8B3;SAB LIQ FACIAL DOVE 100ML;1,200;12;0,10000
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCAO FACIAL;SIMPLE;8F5;SAB LIQ FACIAL SIMPLE 150ML;1,836;12;0,15300
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;VASENOL;8FF;LOCAO VASENOL 200ML;2,436;12;0,20300
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;VASENOL;8FH;LOCAO VASENOL 400ML;4,836;12;0,40300
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;DOVE;AIW;LOCAO DOVE 200ML;2,436;12;0,20300
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;DOVE;AIY;LOCAO DOVE 400ML;4,836;12;0,40300
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA AS MAOS;DOVE;AJ0;LOCAO DOVE MAOS 75ML;0,468;6;0,07800
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;ESPUMA BARBEAR;DOVE;B1Z;ESPUMA BARBEAR DOVE 200ML;2,316;12;0,19300
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;DOVE;CCG;BALSAMO DOVE CONCENTRADO 90G;1,056;12;0,08800
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;DOVE;CCH;LOCAO DOVE 380ML;4,560;12;0,38000
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;DOVE;CCI;SERUM DOVE CONCENTRADO 100ML;1,200;12;0,10000
BEAUTY;SKIN CARE;SKIN CARE;SKIN CARE;LOCOES PARA O CORPO;DOVE;CCJ;LOCAO DOVE 180ML;2,160;12;0,18000
FR;AMIDOS;DRESSINGS;CORN STARCH;HT - AMIDOS;MAIZENA;51P;MAIZENA TRADICIONAL 500G - HT;20,000;40;0,50000
FR;AMIDOS;DRESSINGS;CORN STARCH;HT - AMIDOS;MAIZENA;6S5;MAIZENA TRADICIONAL 200G - HT;10,000;50;0,20000
FR;AMIDOS;DRESSINGS;CORN STARCH;HT - AMIDOS;MAIZENA;6UJ;MAIZENA TRADICIONAL 1KG - HT;20,000;20;1,00000
FR;AMIDOS;DRESSINGS;CORN STARCH;HT - AMIDOS;MAIZENA;9UF;MAIZENA ARROZINA 180GR - HT;9,000;50;0,18000
FR;AMIDOS;DRESSINGS;CORN STARCH;HT - AMIDOS;MAIZENA;9UH;MAIZENA CREMOGEMA 160GR - HT;3,840;24;0,16000
